Name,Beer_ID,ABV,IBU,Brew_ID,Style,Ounces,Name,City,State,ISBLANK,,,,,,,,,,
Pub Beer,1436,0.05,,409,American Pale Lager,12,10 Barrel Brewing Company,Bend, OR,BLANK,,,,,,,,,,
Bitter Bitch,1979,0.061,60,178,American Pale Ale (APA),12,18th Street Brewery,Gary, IN,DATA,,Count of ISBLANK,Column Labels,,,,Count of ISBLANK,Column Labels,,
Devil's Cup,2265,0.066,,178,American Pale Ale (APA),12,18th Street Brewery,Gary, IN,BLANK,,Row Labels,DATA,BLANK,Grand Total,,Row Labels,DATA,BLANK,Grand Total
Rise of the Phoenix,2264,0.071,,178,American IPA,12,18th Street Brewery,Gary, IN,BLANK,, CO,146,119,265,,Grand Rapids,3,63,66
Sinister,2263,0.09,,178,American Double / Imperial IPA,12,18th Street Brewery,Gary, IN,BLANK,, CA,135,48,183,,Portland,41,23,64
Sex and Candy,2262,0.075,,178,American IPA,12,18th Street Brewery,Gary, IN,BLANK,, MI,38,124,162,,Chicago,17,38,55
Black Exodus,2261,0.077,,178,Oatmeal Stout,12,18th Street Brewery,Gary, IN,BLANK,, IN,91,48,139,,Indianapolis,36,7,43
Lake Street Express,2260,0.045,,178,American Pale Ale (APA),12,18th Street Brewery,Gary, IN,BLANK,, TX,89,41,130,,San Diego,35,7,42
Foreman,2259,0.065,,178,American Porter,12,18th Street Brewery,Gary, IN,BLANK,, OR,87,38,125,,Boulder,26,15,41
Jade,2258,0.055,,178,American Pale Ale (APA),12,18th Street Brewery,Gary, IN,BLANK,, PA,47,53,100,,Denver,17,23,40
Cone Crusher,2131,0.086,,178,American Double / Imperial IPA,12,18th Street Brewery,Gary, IN,BLANK,, IL,39,52,91,,Brooklyn,28,10,38
Sophomoric Saison,2099,0.072,,178,Saison / Farmhouse Ale,12,18th Street Brewery,Gary, IN,BLANK,, WI,42,45,87,,Seattle,24,11,35
Regional Ring Of Fire,2098,0.073,,178,Saison / Farmhouse Ale,12,18th Street Brewery,Gary, IN,BLANK,, MA,51,31,82,,Longmont,20,13,33
Garce Selé,2097,0.069,,178,Saison / Farmhouse Ale,12,18th Street Brewery,Gary, IN,BLANK,, NY,46,28,74,,San Francisco,22,10,32
Troll Destroyer,1980,0.085,,178,Belgian IPA,12,18th Street Brewery,Gary, IN,BLANK,, WA,43,25,68,,Tampa,20,11,31
Ginja Ninja,2318,0.06,,155,Cider,12,2 Towns Ciderhouse,Corvallis, OR,BLANK,, NC,30,29,59,,Stevens Point,20,10,30
Cherried Away,2170,0.06,,155,Cider,12,2 Towns Ciderhouse,Corvallis, OR,BLANK,, FL,37,21,58,,Aurora,24,2,26
Rhubarbarian,2169,0.06,,155,Cider,12,2 Towns Ciderhouse,Corvallis, OR,BLANK,, MN,46,9,55,,Austin,13,12,25
BrightCider,1502,0.06,,155,Cider,12,2 Towns Ciderhouse,Corvallis, OR,BLANK,, OH,32,17,49,,Fort Collins,17,5,22
Hell or High Watermelon Wheat (2009),802,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA,DATA,, AZ,24,23,47,,Boston,18,3,21
Hell or High Watermelon Wheat (2009),801,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA,DATA,, MO,29,13,42,,Cincinnati,16,5,21
21st Amendment Watermelon Wheat Beer (2006),800,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA,DATA,, VA,35,5,40,,Chandler,15,4,19
Hell or High Watermelon Wheat,9,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA,DATA,, MT,23,17,40,,Saint Louis,13,6,19
Monk's Blood,11,0.083,35,369,Belgian Dark Ale,12,21st Amendment Brewery,San Francisco, CA,DATA,, IA,25,5,30,,Eagle,8,11,19
Bitter American,876,0.044,42,369,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco, CA,DATA,, ID,17,13,30,,Manhattan,16,2,18
Bitter American (2011),353,0.044,42,369,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco, CA,DATA,, RI,20,7,27,,Boonville,14,4,18
Fireside Chat,1024,0.079,45,369,Winter Warmer,12,21st Amendment Brewery,San Francisco, CA,DATA,, ME,7,20,27,,Davenport,15,3,18
Fireside Chat (2010),321,0.079,45,369,Winter Warmer,12,21st Amendment Brewery,San Francisco, CA,DATA,, VT,17,10,27,,Ashland,17,1,18
Special Edition: Allies Win The War!,531,0.085,52,369,English Strong Ale,12,21st Amendment Brewery,San Francisco, CA,DATA,, HI,18,9,27,,Missoula,17,1,18
Back in Black,173,0.068,65,369,American Black Ale,12,21st Amendment Brewery,San Francisco, CA,DATA,, CT,6,21,27,,Columbus,13,4,17
Brew Free! or Die IPA,10,0.07,65,369,American IPA,12,21st Amendment Brewery,San Francisco, CA,DATA,, UT,11,15,26,,Boise,7,10,17
21st Amendment IPA (2006),799,0.07,70,369,American IPA,12,21st Amendment Brewery,San Francisco, CA,DATA,, AK,17,8,25,,Salt Lake City,11,6,17
Brew Free! or Die IPA (2008),797,0.07,70,369,American IPA,12,21st Amendment Brewery,San Francisco, CA,DATA,, NE,9,16,25,,San Antonio,7,9,16
Brew Free! or Die IPA (2009),796,0.07,70,369,American IPA,12,21st Amendment Brewery,San Francisco, CA,DATA,, KS,19,4,23,,Astoria,5,11,16
Lower De Boom,1036,0.099,92,369,American Barleywine,8.4,21st Amendment Brewery,San Francisco, CA,DATA,, KY,14,7,21,,Durango,9,7,16
Hop Crisis,432,0.097,94,369,American Double / Imperial IPA,12,21st Amendment Brewery,San Francisco, CA,DATA,, MD,10,11,21,,Minneapolis,16,,16
He Said Baltic-Style Porter,1593,0.082,,369,Baltic Porter,12,21st Amendment Brewery,San Francisco, CA,BLANK,, LA,10,9,19,,Lincoln,4,11,15
He Said Belgian-Style Tripel,1592,0.082,,369,Tripel,12,21st Amendment Brewery,San Francisco, CA,BLANK,, OK,11,8,19,,Los Angeles,14,1,15
Marooned On Hog Island,976,0.079,,369,American Stout,12,21st Amendment Brewery,San Francisco, CA,BLANK,, GA,7,9,16,,Export,1,14,15
Bimini Twist,2519,0.07,82,68,American IPA,12,3 Daughters Brewing,St Petersburg, FL,DATA,, WY,12,3,15,,Anchorage,10,5,15
Beach Blonde,2518,0.05,,68,American Blonde Ale,12,3 Daughters Brewing,St Petersburg, FL,BLANK,, NM,6,8,14,,Louisville,14,1,15
Rod Bender Red,2517,0.059,,68,American Amber / Red Ale,12,3 Daughters Brewing,St Petersburg, FL,BLANK,, SC,5,9,14,,Pottstown,11,3,14
Passion Fruit Prussia,2545,0.035,11,61,Berliner Weissbier,12,4 Hands Brewing Company,Saint Louis, MO,DATA,, NV,8,3,11,,Birmingham,11,3,14
Send Help,2544,0.045,18,61,American Blonde Ale,12,4 Hands Brewing Company,Saint Louis, MO,DATA,, MS,11,,11,,Conroe,12,2,14
Contact High,1870,0.05,28,61,American Pale Wheat Ale,12,4 Hands Brewing Company,Saint Louis, MO,DATA,, AL,9,1,10,,Lyons,12,2,14
Cast Iron Oatmeal Brown,2324,0.055,,61,American Brown Ale,12,4 Hands Brewing Company,Saint Louis, MO,BLANK,, NH,2,6,8,,Gary,1,13,14
Reprise Centennial Red,2288,0.06,,61,American Amber / Red Ale,12,4 Hands Brewing Company,Saint Louis, MO,BLANK,, NJ,8,,8,,Houston,13,,13
Alter Ego,2287,0.055,,61,American Black Ale,12,4 Hands Brewing Company,Saint Louis, MO,BLANK,, DC,4,4,8,,Utica,3,10,13
Divided Sky,2286,0.065,,61,American IPA,12,4 Hands Brewing Company,Saint Louis, MO,BLANK,, SD,,7,7,,Brooklyn Center,11,2,13
Resurrected,2285,0.065,,61,American IPA,12,4 Hands Brewing Company,Saint Louis, MO,BLANK,, TN,5,1,6,,Monroe,,13,13
Honey Kolsch,2217,0.046,15,28,Kölsch,16,450 North Brewing Company,Columbus, IN,DATA,, AR,1,4,5,,Dallas,8,4,12
Copperhead Amber,2216,0.052,18,28,Belgian Dark Ale,16,450 North Brewing Company,Columbus, IN,DATA,, ND,3,,3,,Lahaina,8,4,12
Citrafest,2602,0.05,45,28,American IPA,16,450 North Brewing Company,Columbus, IN,DATA,, WV,2,,2,,Edwards,5,6,11
